"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib","plugin","pluginse","onestep","onestepse","plugin_adapt","pluginse_adapt","onestep_adapt","onestepse_adapt"
5000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.14709164975248,0.0475256705971682,4.37365701588999,0.975659627016589,1.96785731209813,0.0422638574758419,4.16190117143476,0.934011438147092
5000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.20945851994654,0.0360519894961131,0.959807155506561,0.726147012760187,2.50444426143825,0.0483306749280187,3.29212243089396,0.845557812743677
5000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.02412268666336,0.0380056435586936,1.13550566481821,0.698312166453779,1.13001744827946,0.0257087219152626,2.00898066404732,0.628658384537041
5000,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.68905333867129,0.0506262214999412,3.76859881197989,1.15481745877417,1.79543149433116,0.0362548265145742,2.48970595536274,0.731429422321114
5000,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.99769873321157,0.0411458384365243,1.94651316246382,0.736314258008565,2.03037071023368,0.0459241092468844,2.21158618712094,0.883665358684563
5000,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.80416998768443,0.0558984028606895,2.3358701849321,1.00425027444649,1.90421092129791,0.0450873455133179,3.2301404299612,0.731150746444456
5000,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.94835849342144,0.0357926957931977,2.14446563634975,0.642813676724729,2.06990465902582,0.0323148802795206,2.65242173372821,0.688542938503289
5000,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.22830121922886,0.0476510669905671,2.27984800276365,0.727580996915808,1.87070772683659,0.0365980017888244,3.03769845028981,0.687744157588897
5000,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.64259433190729,0.0481885029552331,3.04466049155202,0.544770407402496,2.69681879246351,0.0479155730508778,2.72460887158686,0.558442813122879
5000,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.05759966641513,0.0540426444244547,3.07683581596391,1.02623727457777,2.34135378320887,0.0478808853360419,2.72070253237413,0.613792471871686
5000,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.38779041186189,0.0458231818241671,2.90114866333606,0.463664073393656,1.6827192471293,0.0443442707882529,3.24140435553802,0.763213747519789
5000,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.04390268563766,0.0467171522970519,1.22832729419773,0.71192461392434,1.58596655817425,0.0429137405675477,2.12500101639504,0.561336457150728
