"n","omega","rho","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","plugin","pluginse","onestep","onestepse","maxl1","maxpi1","mink","maxk"
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.32427508928008,0.0483797458953951,2.59375254973376,0.251632372031812,0.998101600893658,0.876747580228345,0.130859639755402,0.903766254659144
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.38411741814988,0.0425245543386375,2.31382635580782,0.192310846334388,0.999862356380535,0.835957373233252,0.0918243625143465,0.930457523708086
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.33309624978723,0.0416666246599699,2.54474430789426,0.199679098126026,0.998313218288208,0.862506704887919,0.142963718669735,0.895695642463891
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.40644246332296,0.0393063720769754,2.70785901353774,0.169494718670626,0.999509506999586,0.834211486310859,0.101422012416442,0.909879589822035
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.37225595034591,0.0424243847678331,2.57495097646076,0.246035318705633,0.999157704597374,0.835587944252677,0.081706283498919,0.931069129708328
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.60600777193848,0.0455371436600297,2.30438720690075,0.206206493477951,0.999610180139289,0.865474939721442,0.0967203694742456,0.94198092315084
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.31425558889754,0.0453720862839136,2.46650874079996,0.234721865068546,0.997004275704852,0.851268481042689,0.110621644479223,0.929556561354246
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.27686590559421,0.0518446022276469,2.80072023490622,0.269358061856802,0.997193301637897,0.858622342165217,0.0696509663552854,0.9327986969632
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.18339265512359,0.0419644716204819,2.54576375674476,0.206058715533495,0.999033190651111,0.845902309012981,0.117487516073783,0.924410627314127
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.47591289320873,0.0425833565396272,2.704475519294,0.183899014450541,0.999622331353735,0.840014210897981,0.127341450590807,0.934789406278731
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.21632170630619,0.0456878622698233,2.4869141432627,0.224620322623594,0.997406206712019,0.860480595933845,0.0841447868971407,0.934189745502758
